ICAO,TYPE/SIZE,NAME,ELEVATION,iso_country,iso_region,municipality,Lat,Lon
00A,heliport,Total Rf Heliport,11,US,US-PA,Bensalem,-74.93360138,40.07080078
00AA,small_airport,Aero B Ranch Airport,3435,US,US-KS,Leoti,-101.473911,38.704022
00AK,small_airport,Lowell Field,450,US,US-AK,Anchor Point,-151.6959991,59.94919968
00AL,small_airport,Epps Airpark,820,US,US-AL,Harvest,-86.77030182,34.8647995
00AR,closed,Newport Hospital & Clinic Heliport,237,US,US-AR,Newport,-91.254898,35.6087
00AS,small_airport,Fulton Airport,1100,US,US-OK,Alex,-97.8180194,34.9428028
00AZ,small_airport,Cordes Airport,3810,US,US-AZ,Cordes,-112.1650009,34.30559921
00CA,small_airport,Goldstone /Gts/ Airport,3038,US,US-CA,Barstow,-116.8880005,35.3504982
00CL,small_airport,Williams Ag Airport,87,US,US-CA,Biggs,-121.763427,39.427188
00CN,heliport,Kitchen Creek Helibase Heliport,3350,US,US-CA,Pine Valley,-116.4597417,32.7273736
00CO,closed,Cass Field,4830,US,US-CO,Briggsdale,-104.344002,40.622202
00FA,small_airport,Grass Patch Airport,53,US,US-FL,Bushnell,-82.21900177,28.64550018
00FD,heliport,Ringhaver Heliport,25,US,US-FL,Riverview,-82.34539795,28.84659958
00FL,small_airport,River Oak Airport,35,US,US-FL,Okeechobee,-80.96920013,27.23089981
00GA,small_airport,Lt World Airport,700,US,US-GA,Lithonia,-84.06829834,33.76750183
00GE,heliport,Caffrey Heliport,957,US,US-GA,Hiram,-84.73390198,33.88420105
00HI,heliport,Kaupulehu Heliport,43,US,US-HI,Kailua/Kona,-155.980233,19.832715
00ID,small_airport,Delta Shores Airport,2064,US,US-ID,Clark Fork,-116.2139969,48.14530182
00IG,small_airport,Goltl Airport,3359,US,US-KS,McDonald,-101.395994,39.724028
00II,heliport,Bailey Generation Station Heliport,600,US,US-IN,Chesterton,-87.12280273,41.64450073
00IL,small_airport,Hammer Airport,840,US,US-IL,Polo,-89.56040192,41.97840118
